"","artist","song","link","text"
"11","Blur","Black Book","/b/blur/black+book_20154316.html","Put away my black book  
Throw it on the fire  
Getting out the side door  
You are my one desire  
Baby when you hold me  
I feel see you're everything  
Baby when you touch me  
I need nothing no more  
Put away my black book  
  
Put in on the fire  
Don't give up on me Lord  
Take my spirit higher  
Nothing can behold me  
  
Don't put me on the fire  
Baby when you hold me  
I will see no fear  
Baby when you touch me  
You see it in my eyes  
Put away my black book  
  
Put it on the fire  
I've made up my mind  
I got nothing to hide  
I've made up my mind  
I got nothing to hide  
  
Give me my soul [Repeat: x7]  
Give you my soul  
Give me my soul  
Give you my soul [Repeat: x10]  
Give you  
Give you my soul [Repeat: x4]

"
"12","Blur","Blue Jeans","/b/blur/blue+jeans_20021028.html","Air cushioned soles  
I bought them on the Portbello Road on a Saturday  
I stop and stare awhile  
A common pastime when conversation goes astray  
  
And don't think I'm walking out of this  
She don't mind  
Whatever I say, whatever I say  
I don't really want to change a thing  
I want to stay this way forever  
  
Blue, blue jeans I wear them every day  
There's no particular reason to change  
My thoughts are getting banal, I can't help it  
But I won't pull out hair another day  
  
And don't think I'm walking out of this  
She don't mind  
Whatever I say, Whatever I say  
I don't really want to change a thing  
I want to stay this way forever  
If you don't mind  
Whatever I say, Whatever I say  
I don't really want to change a thing  
I want to stay this way forever  
  
You know it's to be with you  
Don't give up on me yet  
Don't think I'm walking out of this  
She don't mind  
Whatever I say, Whatever I say  
I don't really want to change a thing  
I want to stay this way forever  
If you don't mind  
Whatever I say, Whatever I say  
I don't really want to change a thing  
I want to stay this way forever  
  
You know it's to be with you

"
"13","Blur","Bone Bag","/b/blur/bone+bag_20709992.html","When you see in see you dancing  
Own reflection was never bent  
Be a man can shaking bone bag  
One day up is another down  
I don't want to hurt you, no not ever  
No not ever  
This is my street, I stay here and sleep  
You're outside on sunny days  
Nicotine flow stops a pain grow  
Stay a while, so nearly there  
I don't want to hurt you, no not ever  
No not ever  
This is my street I stay here and sleep  
You're outside on sunny days  
Be a man can shaking bone bag  
One day up is another day  
I don't want to hurt you, no not ever  
No not ever

"
"14","Blur","Bugman","/b/blur/bugman_20020975.html","I am an ex offender  
They let me out in the summer  
I think I was in a coma  
I didn't know what to do  
Oh no  
  
You go hang around go round  
I'll watch myself hang on  
Look out for the Bugman  
You go hang around around  
I'll watch myself hang on  
Look out for the Bugman  
  
I got no sent of existence  
I know the nodding dogs  
I go out in the city  
I stay away from the bugs  
Oh yeah  
  
You go hang around around  
I watch myself hang on  
Look out for the Bugman  
You go hang around around  
I watch myself hang on  
Look out for the Bugman  
  
The bu uh uh ug man  
  
I go out in the city  
I stay away from the bugs  
Oh yeah  
na na na na na oh oh...  
  
I go out in the city  

"
"15","Blur","Chinese Bombs","/b/blur/chinese+bombs_20020986.html","He makes an inner arm block  
Then kicks off from behind  
The lights they go off  
But he can fight blind  
Cause he got the touch  
But he won't live long  
Cause he comes from Hong Kong  
Where people are strong  
  
Chinese bombs, millions jump,  
Chairman's junk USA  
Won't somebody, won't somebody  
Sink this place  
  
Got a cab to go to Soho  
The dragon says go  
Let everyone know  
You got the touch  
You come from Hong Kong  
Where people are strong  
And you won't live long  
  
Chinese bombs, millions jump  
Chairman's junk, USA  
Won't somebody, won't somebody  
Bruce Lee comes to save the day  
Bruce Lee comes to save Chinese way  

"
"16","Blur","Cowboy Song","/b/blur/cowboy+song_20525704.html","Gonna sail a bird like a private jet  
You're the one, you're the one  
In my head, oughta get us clear  
You'll find a song before too long  
I've got a healthy feeling,  
A sleepy feeling, a sleepy feeling  
Today is gone, the day is gone, today is gone  
Go to a store, to the golf floor  
A cowboy's song, a cowboy's song  
You're the one, you're the one  
A cowboy's song, you're the one  
I've got a healthy feeling,  
A sleepy feeling, a sleepy feeling  
It's all gone, today is gone, it's all gone  
I've got a sleepy feeling,  
A new slept feeling, a sleepy feel  
It's all gone, today is gone, today is gone

"
"17","Blur","Dan Abnormal","/b/blur/dan+abnormal_20021003.html","Meanie Leanie come on down  
Come and entertain the town  
It's friday night and we're all bored  
Time's been called there is no more  
Time's been called it's such a bore  
  
Dan Abnormal not normal at all  
It's not his fault we made him this way  
He'll imitate you try to ape you  
But it's not his fault Dan watches T.V.  
  
The meanie Leanie stays up late  
Mopes around gets in a state  
He the killer in your arcade  
Killing gangstas ready made  
Cause that is where the future's made  
  
Tele port me  
  
Dan went to his local burger bar  
I want McNormal and chips  
Or I'll blow you to bits  
Give us it  
  
It's the miseries at half past three  
Watching video nasties  
He has dirty dreams while he's asleep  
Dan's just like you and me  
He's the Meanie Leanie  
  
Dan Abnormal not normal at all  
It's not his fault we made him this way  
He'll imitate you try to ape you  
But it's not his fault Dan Abnormal's me

"
"18","Blur","Death Of A Party","/b/blur/death+of+a+party_20020988.html","The death of the party  
Came as no surprise  
Why did we bother?  
Should have stayed away  
Another night  
And I thought ""Well, well""  
Go to another party and hang myself  
Gently on the shelf  
The death of the teenager  
Standing on his own  
Why did he bother?  
Should have slept alone  
Another night  
And I thought ""Well, well""  
Go to another party and hang myself  
Gently on the shelf  
Another night  
And I thought ""Well, well""  
Go to another party and hang myself  
Gently on the shelf

"
"19","Blur","Dizzy","/b/blur/dizzy_20021099.html","I pump poison  
Into my body  
To forget  
That I am me  
  
feels good  
Wonderful  
I forget I have feelings at all  
You're dizzy  
  
I floated up  
Fifteen miles high  
Stuck my head through  
All the holes in our sky  
  
I looked out across the universe  
And thought of you  
You're dizzy  
And I am dizzy too  
  
I became lunatic  
With rolling eyes  
Squirming on the ground  
Frozen in ice  
  
Called to my mother  
Said ""Mother, please  
Feed me before the sky  
Falls in on me""  
  
You're dizzy

"
"20","Blur","Down","/b/blur/down_20709975.html","You and me we try  
to change  
  
We try so hard it's all the same  
I'm just waiting for it to begin again  
Ahhhh  
I'm forgetting who I am  
That makes me wonder who I am  
Trying so hard to find sense when there's none at all  
Ahhh  
Down  
Staring at the sun all day  
If you stare too long you get burned away  
Now there's nothing left of me so have it all  
Ahhh  
Forgetting again I blame  
My past has just faded away  
Now I can tell you everything there is to know about  
Ahhh  
Down

"
