"","artist","song","link","text"
"11","Oasis","Flashbax","/o/oasis/flashbax_20102416.html","I spend my time sittin' on the fence with a mate of mine  
I'm tryin' to write the line of a story  
  
We believe that everything said is a waste of time  
'Cause life is well tried and it bores me  
Yeah yeah yeah  
  
In my well paid opinion  
These things they really don't matter  
But from my crystal gazing eye  
There shines a light, like dynamite  
  
Sittin' on a throne will give a bad back to you  
Livin' on my own was like a Flashback  
To the days when I was lost and lonely  
Saying what I said was just a different story  
All your lies man they still bore me  
There's nothin' wrong with my world  
And these things they really don't matter now  
  
I spend my time sittin' on the fence with a mate of mine  
I'm tryin' to write the line of a story  
  
We believe that everything said is a waste of time  
'Cause life is well tried and it bores me  
Yeah yeah yeah  
  
In my well paid opinion  
These things they really don't matter  
'Cause from my crystal gazin' eye  
There shines a light, like dynamite  
  
Sittin' on a throne will give a bad back to you  
Livin' on my own was like a Flashback  
To the days when I was lost and lonely  
Saying what I said was just a different story  
All those lies man, they will bore me  
There's nothin wrong in my world  
And these things they really don't matter  
These things they really don't matter now  
  
Sittin' on a throne will give a bad back to you  
Livin' on my own was like a Flashback  
To the days when I was lost and lonely  
Saying what I said was just a different story  
All your lies man, they still bore me  
There's nothin' wrong in my world  
And these things they really don't matter  
These things they really don't matter now  
  
Don't matter now  
Don't matter now  
Don't matter now  
Don't matter now  
Don't matter now  
Don't matter now  
Don't matter now  
Don't matter now  
Don't matter now

"
"12","Oasis","Force Of Nature","/o/oasis/force+of+nature_20102417.html","Yeah I feel like a force of nature  
Could make you sing like a bird released  
If what you seek is the wise man's treasure  
You know it's buried beneath your feet  
You know you look like a painted picture  
I see the cracks freezing on your skin  
And as the world slowly turns and hits you  
That the thieves of the night  
Are coming to take you in  
  
For smoking all my stash  
But burning all my cash  
I bet you knew right away  
It's all over town that  
The sun's going down  
On the days of your easy life  
  
I bet you knew right away  
You dope you don't know where it's at  
It's all over town  
That the sun's gone down  
And it's high time to pray  
  
Yeah I feel like a force of nature  
Could make you sing like a bird released  
If what you seek is the wise man's treasure  
You know it's buried beneath your feet  
You know you look like a faded picture  
I see the cracks frozen on your skin  
As the world slowly turns and hits you  
Then the thieves of the night  
Are coming to take you in  
  
For smoking all my stash  
But burning all my cash  
I bet you knew right away  
It's all over town that  
The sun's going down  
On the days of your easy life  
  
I bet you knew right away  
You dope you don't know where it's at  
It's all over if you're begging me please  
Then yer get on your knees and pray  
  
Yer smoking all my stash  
Yer burning all my cash  
I bet you knew right away  
It's all over town that  
The sun's gone down  
And it's high time to pray

"
"13","Oasis","Full On","/o/oasis/full+on_20102418.html","I hear my heart beatin' faster  
I feel it in my bones  
I want it now 'cause I have ta  
But why no-one knows  
I'm like the angel on the A train  
My eyes is diamond white  
And from the cradle till your insane  
The life you have to fight  
But no-one really knows why there's a spirit in the sky  
There's escape so long  
He will understand while I take him by the hand  
Why life's time tunnel is long  
Well it will be alright  
If you stay tonight  
It's where we both belong  
It's gonna be full on  
It's gonna be full on  
It's gonna be full on  
It's gonna be full on  
It's gonna be full on  
  
I hear my heart beatin' faster  
I feel it in my bones  
I want it now 'cause I have ta  
But why no-one knows  
I'm like the angel on the A train  
My eyes is diamond white  
And from the cradle till your insane  
The life you have to fight  
But no-one really knows why there's a spirit in the sky  
There's escape so long  
He will understand while I take him by the hand  
Why life's time tunnel is long  
Well it will be alright  
If you stay tonight  
It's where we both belong  
It's gonna be full on  
It's gonna be full on  
It's gonna be full on  
It's gonna be full on  
It's gonna be full on  
  
It's gonna be alright  
You're gonna stay tonight  
It's where we both belong  
It's gonna be full on  
It's gonna be full on  
It's gonna be full on  
It's gonna be full on  
It's gonna be full on  
It's gonna be full on  
It's gonna be full on  
It's gonna be full on

"
"14","Oasis","Gas Panic","/o/oasis/gas+panic_20102372.html","What tongueless ghost of sin crept through my curtains?  
Sailing on a sea of sweat on a stormy night  
I think he don't got a name but I can't be certain  
And in me he starts to confide  
  
That my family don't seem so familiar  
And my enemies all know my name  
And if you hear me tap on your window  
Better get on yer knees and pray panic is on the way  
  
My pulse pumps out a beat to the ghost dancer  
My eyes are dead and my throat's like a black hole  
And if there's a god would he give another chancer  
An hour to sing for his soul  
  
'cause my family don't seem so familiar  
And my enemies all know my name  
And when you hear me tap on yer window  
Yer better get on yer knees and pray panic is on the way  
  
'cause my family don't seem so familiar  
And my enemies all know my name  
And when you hear me tap on yer window  
Then you get on your knees and you better pray  
'cause my family don't seem so familiar  
And my enemies all know my name  
And when you hear me tap on your window  
Yer better get on yer knees and pray  
Panic is on the way  
Panic is on the way

"
"15","Oasis","(Get Off Your) High Horse Lady","/o/oasis/get+off+your+high+horse+lady_20759030.html","Get off your high horse lady, I don't need a ride tonight  
Get off your high horse lady, I don't need a ride tonight  
Lay down  
  
I hear your soul song singing from a fire in the sky  
I hear your soul song singing from a fire in the sky  
Rain down  
Rain down  
  
Get off your high horse lady, I don't need a ride tonight  
Get off your high horse lady, I don't need a ride tonight  
Lay down  
Lay down

"
"16","Oasis","Heroes","/o/oasis/heroes_20102422.html","Written by D. Bowie  
I-I wish you could swim  
Like the dolphins-like dolphins can swim  
Though nothing-nothing will keep us together  
We can beat them-for ever and ever  
Oh we can be heroes-just for one day  
I-I will be king  
And you-you will be queen  
Though nothing will drive them away  
We can beat them-just for one day  
We can be heroes-just for one day  
And you-you can be mean  
And I-I'll drink all the time  
'Cause we're lovers-and that is a fact  
Yes we're lovers-and that is that  
Though nothing-will keep us together  
We could steal time-just for one day  
We can be heroes-for ever and ever  
What do you say?  
I-I can remember  
Standing-by the wall  
And the guns-shot above our heads  
And we kissed-as though nothing could fall  
And the shame-was on the other side  
Oh we can beat them-forever and ever  
Then we could be heroes-just for one day  
We can be heroes  
We can be heroes  
We can be heroes  
Just for one day  
We can be heroes  
We're nothing, and nothing will help us  
Maybe we're lying, then you better not stay  
But we could be safer, just for one day  
Oh, oh, oh, ohhh-oh, oh, oh, ohhh, just for one day  
Oh just for a day

"
"17","Oasis","I Hope, I Think, I Know","/o/oasis/i+hope+i+think+i+know_20102317.html","They're trying hard to put me in my place  
And that is why I gotta keep running  
The future's mine and its no disgrace  
'Cause in the end the past means nothing  
  
You tell me I'm free then you tie me down  
And from my chains I think it's a pity  
What did it cost you to wear my crown  
You don't like it so why don't you admit it  
  
D'you feel a little down today?  
Bet you ain't got much to say?  
You're gonna miss me when I'm not there  
And you know I don't care, you know I don't care  
  
As we beg and steal and borrow  
Life is hit and miss and this  
I Hope, I Think, I Know  
And if I ever hear the names you call  
  
If I stumble catch me when I fall  
'cause baby after all, you'll never forget my name

"
"18","Oasis","I'm Only Sleeping","/o/oasis/im+only+sleeping_20563092.html","When I wake up early in the morning  
Lift my head, I'm still yawning  
When I'm in the middle of a dream  
Stay in bed, float up stream (float up stream)  
  
Please, don't wake me, no, don't shake me  
Leave me where I am - I'm only sleeping  
  
Everybody seems to think I'm lazy  
I don't mind, I think they're crazy  
Running everywhere at such a speed  
Till they find there's no need (there's no need)  
  
Please, don't spoil my day, I'm miles away  
And after all I'm only sleeping  
  
Keeping an eye on the world going by my window  
Taking my time  
  
Lying there and staring at the ceiling  
Waiting for a sleepy feeling...  
  
Please, don't wake me, no, don't shake me  
Leave me where I am - I'm only sleeping  
  
Keeping an eye on the world going by my window  
Taking my time  
  
When I wake up early in the morning  
Lift my head, I'm still yawning  
When I'm in the middle of a dream  
Stay in bed, float up stream (float up stream)  
  
Please, don't wake me, no, don't shake me  
Leave me where I am - I'm only sleeping

"
"19","Oasis","I'm Outta Time","/o/oasis/im+outta+time_20758951.html","Here is a song  
It reminds me of when we were young  
Looking back at all the things we've done  
You gotta keep on, keepin' on  
  
Out to sea, it's the only place I honestly  
Can't get myself some piece of mind  
You know it's getting hard to fly  
  
If I'm to fall  
Would you be there to applaud?  
Or would you hide behind them all?  
Cause if I have to go,  
In my heart you grow  
And that's where you belong  
  
If I'm to fall  
Would you be there to applaud?  
Or would you hide behind them all?  
Cause if I have to go,  
In my heart you'll grow  
And that's where you belong  
  
If I'm to fall  
Would you be there to applaud?  
Or would you hide behind them all?  
Cause if I have to go  
In my heart you'll grow  
And that's where you belong  
  
Guess I'm outta time  
I'm outta time  
I'm outta time  
I'm outta time  
I'm outta time

"
"20","Oasis","It's A Crime","/o/oasis/its+a+crime_20102427.html","Well you can say what you want  
But you won't get a thing from me  
And if you don't understand  
That's it's not in your hands you need  
  
Let there be love  
Let there be love  
Let there be love  
Let there be love  
  
But you can say what you feel  
And it might never steal from me  
And then you must understand  
That it's all in your hands what you need  
  
Let there be love  
Let there be love  
Let there be love  
Let there be love  
  
And I never knew  
But all the thing's that you've done  
Are coming right back to you  
But everybody know's that it's no crime  
  
But does it make you feel ashamed  
You never said what you done  
And there's no need to blame  
But everybody knows, yeah everybody knows  
Everybody knows that it's no crime, it's no crime  
  
So you can say what you want  
But you'll not get a thought from me  
But if you say what you mean  
Then you might get a thing from me  
  
Let there be love  
Let there be love  
Let there be love  
Let there be love  
  
If I ever knew  
That all the thing's I've thought  
Are coming right back to you  
But everybody thinks that it's a crime  
  
It never makes you feel ashamed  
You sit around and you sold  
And you're passing the blame  
But everybody knows  
Yeah everybody knows  
Everybody knows that it's a crime  
It's a crime (3x)

"
