Composer,Title,Attribution Level,Genre,nPVI_Entire,Nine_Eight,pitch_correlation,pitch_entropy,parallel_motion,similar_motion,oblique_motion,FILENAME,t1_1,t1_2,t1_3,t1_4,t1_5,t1_6,t1_7,t2_1,t2_2,t2_3,t2_4,t2_5,t2_6,t2_7,t3_1,t3_2,t3_3,t3_4,t3_5,t3_6,t3_7,t4_1,t4_2,t4_3,t4_4,t4_5,t4_6,t4_7,t5_1,t5_2,t5_3,t5_4,t5_5,t5_6,t5_7,t6_1,t6_2,t6_3,t6_4,t6_5,t6_6,t6_7,t7_1,t7_2,t7_3,t7_4,t7_5,t7_6,t7_7,
Josquin des Prez,Jos0303a-Missa_De_beata_virgine-Kyrie.krn,1,Mass,118.353,1,0.834964765,6.59651,0.077858881,14.8,56.06,Jos0303a,2.542,3.814,3.39,0.141,1.695,0.565,5.367,7.345,2.401,3.531,0.424,0.424,0,1.412,1.13,7.768,1.554,3.814,0.282,0,0.141,0,0.282,4.52,0.989,5.226,1.13,0.141,0.565,0.424,1.13,6.78,4.52,3.531,1.695,0.706,0,0,0,6.356,0.141,2.26,4.944,0,0.141,0.141,0.706,4.379,1.554,
Josquin des Prez,Jos0303b-Missa_De_beata_virgine-Gloria.krn,1,Mass,117.383,5,0.893491331,7.29105,0.107594937,14.58,58.32,Jos0303b,3.007,4.281,0.866,0.815,1.07,1.478,6.116,5.25,1.733,2.854,1.019,0.917,0.255,1.019,1.478,4.638,0.663,2.752,1.274,0.153,0.051,0.102,0.866,4.791,1.325,4.944,0.714,0.459,1.937,0.612,1.478,6.473,2.956,3.925,1.325,1.121,0.255,0.153,0.765,6.779,0.765,3.262,4.027,0.357,0.102,0.051,1.835,5.861,1.07,
Josquin des Prez,Jos0303c-Missa_De_beata_virgine-Credo.krn,1,Mass,116.782,3,0.888946951,7.19995,0.12962963,14.86,53.16,Jos0303c,1.434,4.259,0.304,0.478,0,1.391,4.476,3.086,1.086,5.693,0.391,0.087,0.043,0.826,2.738,3.738,6.562,4.781,0.522,2.086,0.956,0.174,1.347,4.216,1.869,3.781,0.478,1.347,0.174,0,1.608,3.086,1,4.172,0.217,0.261,0.261,0.739,1.869,2.781,2.39,5.606,4.216,0.565,2.086,0.478,1.695,3.52,5.128,
Josquin des Prez,Jos0303d-Missa_De_beata_virgine-Sanctus.krn,1,Mass,109.103,2,0.600188401,6.92159,0.112771739,14.32,61.4,Jos0303d,2.961,4.441,0.538,2.423,0.404,1.682,4.913,4.307,0.202,4.172,0.673,0.202,0.135,1.211,1.211,3.499,0.471,5.316,0.404,0,0,0.875,1.682,4.509,4.105,5.518,0.942,1.279,1.279,0.067,1.009,4.105,0.74,5.922,0.808,1.009,0.135,0,1.548,3.97,0.606,5.855,5.989,0.404,0.202,0.875,2.826,3.903,0.673,
Josquin des Prez,Jos0303e-Missa_De_beata_virgine-Agnus.krn,1,Mass,108.627,0,0.859910482,6.33945,0.079032258,14.68,60.62,Jos0303e,3.299,6.409,0.189,1.32,0.848,0.471,4.901,4.995,1.131,6.598,0.566,0.943,0.094,0.566,1.791,6.032,1.32,4.901,0.66,0.754,0,0.566,0.754,5.655,2.922,4.713,0.471,0,2.356,0.66,2.168,4.241,2.545,4.336,0.189,0.094,0.094,0.189,0.754,4.807,0.566,4.241,3.959,0.094,0.189,0,1.32,3.959,0.377,
Josquin des Prez,Jos0304a-Missa_Cum_iocunditate-Kyrie.krn,6,Mass,128.309,2,0.770032487,6.349,0.058659218,10.66,65.59,Jos0304a,9.351,6.637,0.603,1.056,1.81,3.469,2.715,5.43,1.659,4.223,0.603,0.754,0,0,3.62,3.469,1.357,3.017,1.81,0.151,0,0.302,0.905,4.525,3.167,2.564,0.302,0.603,1.961,0,2.715,3.017,4.676,3.922,0.452,2.866,0,0,1.056,3.922,1.81,2.112,2.715,0,0,0.603,0.754,2.262,1.056,
Josquin des Prez,Jos0304b-Missa_Cum_iocunditate-Gloria.krn,6,Mass,109.159,0,0.848738366,6.34913,0.106489185,13.95,53.71,Jos0304b,7.074,3.319,0.961,2.358,1.572,1.397,4.716,5.24,1.135,2.795,1.048,1.135,0.087,0.437,2.009,4.454,0.961,2.183,2.882,0.437,0,1.135,1.048,5.24,4.541,2.096,0.262,0.262,2.009,0.699,2.62,3.144,5.066,4.279,0.786,1.659,0.524,0,0.961,3.668,2.445,2.009,2.882,0.087,0.087,0.437,2.009,2.707,1.135,
Josquin des Prez,Jos0304c-Missa_Cum_iocunditate-Credo.krn,6,Mass,103.059,0,0.835180479,6.92899,0.119047619,13.47,51.75,Jos0304c,8.702,4.482,0.677,1.615,1.72,1.511,4.221,6.149,2.918,2.97,0.834,0.938,0.208,0.625,1.876,4.534,2.71,2.345,1.355,0.104,0,0.99,0.834,4.534,4.273,2.084,0.365,0.625,1.668,0.521,1.928,3.908,5.107,2.293,0.625,0.782,0.573,0,0.261,3.439,1.615,2.553,3.7,0.365,0,0.417,1.303,3.022,1.72,
Josquin des Prez,Jos0304d-Missa_Cum_iocunditate-Sanctus.krn,6,Mass,98.4197,0,0.904496523,6.59705,0.122395833,18.16,59.14,Jos0304d,3.826,6.602,0.525,1.425,1.275,1.125,5.476,5.851,1.65,5.476,0.3,0.225,0.15,0.525,2.101,4.276,1.35,4.876,0.675,0.3,0,0.6,0.825,5.176,1.5,5.101,0.3,0.3,1.875,0.225,0.975,4.726,2.401,4.426,0.3,1.275,0.825,0,0.3,4.501,1.65,3.601,4.726,0.15,0,0.3,0.9,4.576,0.45,
Josquin des Prez,Jos0304e-Missa_Cum_iocunditate-Agnus.krn,6,Mass,95.8219,2,0.894515581,6.60062,0.142465753,17.54,58.17,Jos0304e,4.987,6.334,0.809,1.482,1.752,2.695,4.447,5.391,2.291,3.235,0.943,1.213,0.27,0.809,1.482,3.504,1.348,3.504,1.752,0.404,0,1.482,1.078,3.908,1.213,2.695,0.27,0.404,1.887,0.539,2.561,3.369,3.235,4.582,0.809,1.482,0.404,0.135,1.078,4.717,1.752,2.965,4.987,0.135,0,0.135,1.752,2.83,0.943,
Josquin des Prez,Jos0401a-Missa_Ferialis-Kyrie.krn,4,Mass,139.658,2,0.786321521,6.47856,0.130208333,16.43,60.36,Jos0401a,6.86,2.902,5.805,0.792,1.055,0.264,6.596,7.652,0,3.166,0.264,0,0,1.055,1.583,7.388,2.111,5.013,0.792,1.055,0,1.583,1.319,4.222,0.528,3.166,0.528,0.264,1.055,0.264,0.792,4.222,2.902,2.902,0.264,1.319,0,0,0.792,4.222,0.792,2.375,5.013,0.264,0.264,0,0.792,4.749,1.055,
Josquin des Prez,Jos0401d-Missa_Ferialis-Sanctus.krn,4,Mass,114.164,3,0.898718837,7.07423,0.1136,13.84,64.18,Jos0401d,2.19,4.298,0.243,0.487,0.324,0.649,3.487,4.704,5.434,2.676,1.135,3.325,0.73,0.568,0.243,4.785,0.892,2.758,0.243,0.243,0,0,0.892,4.298,0.73,6.569,0.406,0.649,0.73,1.46,0.892,6.894,2.839,4.785,2.514,0.406,1.135,0.081,1.46,5.839,1.298,3.731,3.487,0.649,0.081,0,0.973,6.002,1.784,
Josquin des Prez,Jos0401e-Missa_Ferialis-Agnus.krn,4,Mass,107.76,3,0.900462928,7.17142,0.113846154,14.23,64.44,Jos0401e,2.085,4.754,0.167,0.334,0.334,1.084,3.837,5.004,4.921,3.253,1.418,1.835,0.667,1.168,0.334,4.254,0.417,3.503,0.417,0.334,0,0.167,1.418,4.671,1.084,5.671,0.584,0.25,0.25,1.168,0.751,6.505,2.419,5.004,1.918,0.417,1.668,0,0.917,5.671,2.669,3.837,3.92,0.584,0,0,1.585,5.338,1.418,
