Composer,Title,Attribution Level,Genre,nPVI_Entire,Nine_Eight,pitch_correlation,pitch_entropy,parallel_motion,similar_motion,oblique_motion,FILENAME,t1_1,t1_2,t1_3,t1_4,t1_5,t1_6,t1_7,t2_1,t2_2,t2_3,t2_4,t2_5,t2_6,t2_7,t3_1,t3_2,t3_3,t3_4,t3_5,t3_6,t3_7,t4_1,t4_2,t4_3,t4_4,t4_5,t4_6,t4_7,t5_1,t5_2,t5_3,t5_4,t5_5,t5_6,t5_7,t6_1,t6_2,t6_3,t6_4,t6_5,t6_6,t6_7,t7_1,t7_2,t7_3,t7_4,t7_5,t7_6,t7_7,
Josquin des Prez,Jos2808-Cueurs_desolez.krn,3,Chanson,113.166,0,0.758131364,6.07057,0.131672598,17.31,52.69,Jos2808,7.885,4.808,0.385,0.769,0.385,0.192,7.885,5.192,0.385,4.615,0,0.385,0,0.385,1.346,5.769,1.346,2.115,0.769,0.962,0.385,0.192,0.192,2.692,0.962,3.846,0,0,1.154,0,0.962,4.808,5.962,5.192,0.192,0.192,0,0,0,7.115,3.462,2.885,6.923,0,1.923,0,0.385,3.846,1.154,
Josquin des Prez,Jos2809-De_tous_biens_plaine.krn,2,Chanson,81.4185,0,0.754895145,6.06492,0.078787879,11.98,65.76,Jos2809,3.483,5.638,2.322,0.995,1.161,0,4.643,4.809,2.488,4.312,0.498,1.161,0,0.829,2.488,4.146,2.156,6.136,0.498,0.332,0,0.663,0.829,3.317,1.824,5.804,0,0.498,2.488,0.663,2.819,3.648,7.794,2.985,1.327,0,0,0.332,0.166,2.819,0,2.322,4.643,0.332,0.829,0.663,1.658,2.322,1.161,
Josquin des Prez,Jos2810-Dictez_moy_bergere.krn,4,Chanson,118.821,6,0.718067561,4.36883,0.158536585,12.39,60.47,Jos2810,6.725,3.801,0,2.339,0,0,7.895,6.725,1.462,2.339,0.585,0,0,0,1.17,5.263,2.339,2.339,0.585,0,0,0,0,5.556,5.263,2.924,0,2.632,1.462,0,0,5.263,2.924,3.216,0,0.585,0,0,0,5.556,1.462,2.924,4.094,0.585,1.462,0,1.17,5.848,3.509,
Josquin des Prez,Jos2811-Dulces_exuviae.krn,4,Chanson,109.304,1,0.866370272,6.35184,0.126153846,14.96,60.83,Jos2811,3.828,3.216,0.766,1.531,0,0.766,5.513,5.819,1.378,2.603,0.153,0,0.306,0.306,1.072,4.288,4.9,4.441,0.459,1.531,0.153,0.766,0.153,7.198,4.594,3.216,1.838,0.306,0.459,0,0.306,5.207,0.766,3.063,0.306,0.613,0.306,0.306,0.919,5.207,4.594,3.982,3.369,1.072,0.459,0.919,0.613,3.828,2.603,
Josquin des Prez,Jos2812-El_grillo.krn,3,Chanson,66.4371,0,0.808698265,5.23391,0.03968254,13.89,31.08,Jos2812,9.392,2.762,0.276,2.21,1.105,0,1.934,1.657,2.762,2.21,0.276,0,0,1.934,0.829,2.486,10.773,2.21,0,0,0.276,1.934,0.552,2.21,12.707,1.105,0,1.657,1.934,0,0,2.486,9.669,0.829,0.276,0,0,0,0,1.657,1.105,1.105,4.144,0,0.276,0,0.829,1.381,11.05,
Josquin des Prez,Jos2813-En_lombre_dung_buissonnet.krn,3,Chanson,116.667,12,0.722198406,5.34501,0.010638298,8.05,55.46,Jos2813,9.91,3.604,0.45,3.153,0,0,6.306,3.604,2.703,0,1.351,0.901,0,0.45,0.45,2.703,2.703,1.802,0,0,0,0,0,3.153,5.405,4.505,0,1.802,3.604,0,0.45,4.955,9.91,2.252,0.45,1.351,0,0,0,3.604,1.351,1.802,3.153,0,0.901,0,0.45,4.505,6.306,
Josquin des Prez,Jos2814-Entre_je_suis.krn,1,Chanson,139.225,2,0.876744102,6.24836,0.113207547,13.71,62.14,Jos2814,5.219,5.01,0.835,0.418,1.461,0,5.219,6.472,1.461,3.967,0.209,0.835,0,1.253,1.253,6.263,0.418,3.34,0,0.418,0,1.044,0.835,4.802,1.67,5.01,0,0.209,0.209,0.626,0.626,7.307,3.967,5.428,1.044,0,0,0,0.418,5.846,0.418,3.967,4.802,0,0.626,0,2.296,3.758,1.044,
Josquin des Prez,Jos2815-Fama_malum.krn,3,Chanson,118.697,4,0.844694156,6.54096,0.087765957,10.55,62.15,Jos2815,6.676,3.628,2.177,0.29,1.742,0.871,4.79,4.354,1.597,1.887,0.726,1.887,0,0.581,2.758,4.644,3.483,4.499,0,0.435,0.145,0.435,1.306,3.774,0.726,4.499,1.016,0.435,2.758,0.145,2.032,3.774,4.209,3.483,1.306,0,0,0,1.597,5.225,1.742,2.612,3.048,0,2.177,0.29,1.597,2.903,1.742,
Josquin des Prez,Jos2816-Fors_seulement_II.krn,4,Chanson,127.3,0,0.903234738,6.55225,0.104347826,13.15,62.57,Jos2816,4.799,5.108,2.167,1.548,0.619,2.012,6.037,7.43,1.548,3.56,0.464,0,0,0.619,2.322,3.715,1.393,3.87,0.619,0.464,0.464,0.929,1.238,4.489,3.096,2.941,1.238,0.464,0.929,0,0.774,2.941,0.619,3.56,0.31,0.929,0.619,0.31,1.703,4.489,2.012,3.87,5.108,0.619,0.464,0.464,0.31,5.263,1.548,
Josquin des Prez,Jos2817-Guillaume_se_va_chaufer.krn,4,Chanson,115.033,0,-0.278786377,3.87601,0,8.75,44.44,Jos2817,8.671,0,0,0,14.451,0,8.671,8.671,8.671,9.249,0,0,0,0,0,8.671,0,0,0,0,0,0,0,0,0,0,0,0,14.451,0,0,0,14.451,0,0,0,0,0,0,0,0,0,4.046,0,0,0,0,0,0,
Josquin des Prez,Jos2818-In_te_domine_speravi.krn,3,Chanson,106.903,0,0.669456276,5.56974,0.25,18.45,54.42,Jos2818,4.819,5.723,0.301,1.807,0.602,0.602,6.928,6.325,0.904,3.916,0,0.602,0,0,0.602,5.422,2.108,4.518,0.602,0.904,0,0.602,0,5.422,1.205,7.53,0,0,3.313,0,2.108,6.928,6.024,3.313,0,0,0,0,0.301,6.325,0.602,1.506,3.916,0,0.602,0,0.301,3.313,0,
Josquin des Prez,Jos2819-Je_ris.krn,4,Chanson,122.752,2,0.772732548,6.03108,0.173076923,14.77,59.88,Jos2819,2.299,4.598,0.287,0,1.724,0.575,6.322,7.184,2.299,3.736,0.287,1.149,0,1.149,1.149,7.759,1.149,2.874,0.575,0.287,0.287,0,0.862,6.034,0.287,4.023,0,0,1.437,0,1.437,7.184,8.046,4.31,1.149,0.287,0,0,0.575,4.023,0.287,2.299,5.46,0.287,1.437,0,1.724,2.011,1.149,
Josquin des Prez,Jos2820-Je_sey_bien_dire.krn,2,Chanson,98.1943,2,0.6479945,6.08197,0.143589744,17.55,57.52,Jos2820,3.774,1.651,3.302,3.066,2.594,0.943,4.481,5.66,2.123,4.009,0.708,1.179,0,0.472,4.009,6.604,4.245,3.774,0.708,1.415,0,0,2.83,5.66,1.179,4.481,0,0,1.887,0.472,3.066,4.953,2.83,2.594,0.472,0,0,0.472,0.472,4.953,0.943,0.708,4.245,0,0,0,0.708,1.651,0.708,
Josquin des Prez,Jos2821-Leal_schray_tante.krn,5,Chanson,105.37,0,0.823999782,5.78115,0.116129032,19,46.61,Jos2821,3.571,7.143,0.649,0,0.649,0,5.844,3.571,1.948,4.221,1.623,3.571,0,0.649,0,3.247,0.649,5.195,0,0.325,0,0,1.948,0.649,0,7.792,0.325,0.649,3.896,0.649,0.649,4.545,2.597,5.195,3.247,0,0.974,0,0,4.545,0,3.247,8.442,0.325,1.623,0.325,0.974,2.922,1.623,
Josquin des Prez,Jos2822-Le_villain.krn,3,Chanson,122.82,2,0.799363882,6.53516,0.063897764,12.59,65.28,Jos2822,3.014,3.546,0.887,2.837,0.355,1.064,3.369,3.723,0.709,2.482,0.355,0,0,0.355,1.241,3.191,0.709,5.319,0,0.709,0,1.95,0.177,6.206,5.496,4.61,3.014,0,0.177,0,0.532,8.156,0.532,3.369,0,0.532,0,0.177,0.532,7.27,10.816,4.433,4.965,0,0.177,0,0,3.014,0,
Josquin des Prez,Jos2823-Lhomme_arme.krn,3,Chanson,93.3907,0,0.725816257,4.84475,0.173913043,20.8,46.48,Jos2823,2.762,2.21,1.657,3.867,2.21,4.42,1.105,2.21,0,2.21,0,0,0,1.105,2.762,0.552,0.552,5.525,0,0.552,1.105,7.735,2.762,5.525,2.762,2.21,2.21,3.867,1.657,0,1.657,5.525,0.552,2.762,1.105,0,0,0,4.972,7.182,1.105,1.657,2.21,0,0,2.21,1.657,3.867,0,
Josquin des Prez,Jos2824-Lourdault_Lourdault.krn,6,Chanson,112.126,0,0.673180275,6.24923,0.097046414,12.71,58.05,Jos2824,4.793,2.397,1.307,0.654,0.436,0.218,6.1,6.318,0.436,3.05,0,0,0,0.218,1.525,6.536,2.614,5.664,0,0,0.218,0.654,0,6.536,4.357,5.011,0.871,0.436,0.654,0.218,2.179,5.664,5.447,3.486,0.218,0.218,0,0,1.307,4.793,1.525,2.614,2.832,0,0.654,0.218,1.307,3.486,2.832,
Josquin des Prez,Jos2825-Mille_regretz.krn,4,Chanson,87.36,0,0.774573394,5.7321,0.177966102,24.51,27.58,Jos2825,4.762,3.297,2.198,2.198,0,1.099,4.396,5.128,3.663,1.465,0,0,1.099,1.099,1.832,4.029,2.564,3.297,0,0,0.733,2.564,0.366,6.227,6.593,1.832,0.733,0,1.099,0,0.366,5.128,0.733,2.564,0.366,0,1.099,1.099,1.832,6.96,5.495,1.832,1.099,0,0,2.198,0.733,5.128,1.099,
Josquin des Prez,Jos2826-Mon_seul_plaisir.krn,4,Chanson,112.969,5,0.9067367,4.8093,0.180887372,16.63,60.04,Jos2826,4.405,4.731,0.489,2.284,0.816,0.816,5.383,5.873,2.936,4.078,0.816,0.489,0.653,0.326,0.489,6.199,1.958,3.426,0.653,0.163,0,0.816,0.816,6.688,3.752,4.894,0.326,0.163,2.61,0,0,6.199,2.61,3.263,0.326,0.489,0.489,0,0.489,4.568,1.794,2.61,4.568,0.326,0,0.163,0.653,3.1,1.305,
Josquin des Prez,Jos2827-Plus_nestes_ma_maistresse.krn,3,Chanson,121.293,1,0.941742842,6.35369,0.077490775,13.75,52.88,Jos2827,6.435,2.261,1.739,1.913,0.522,0.696,4.87,4.348,0.87,2.261,0.174,0,0,0,1.913,4,6.261,4,0.348,1.043,0.522,1.391,0.522,5.217,6.087,1.565,1.217,1.913,1.217,0,0.87,3.478,4.174,3.13,0.174,0,0,0.174,1.043,5.391,1.217,1.565,3.478,0,2.087,0.522,1.565,1.913,5.913,
Josquin des Prez,Jos2828-Plus_nulz_regrets.krn,1,Chanson,135.298,0,0.920695984,6.32971,0.098726115,12.79,59.91,Jos2828,3.093,3.78,2.749,0.515,1.89,1.031,4.983,6.014,1.203,2.577,0.687,0.515,0,2.405,1.031,6.186,2.577,2.577,0,0,0,0.859,0.687,3.436,1.718,4.124,0.172,0.344,1.375,1.031,0.859,4.811,2.749,3.608,3.265,0.515,0.515,0,0.687,6.529,0.859,2.234,4.639,0.515,0.172,0.172,2.062,5.842,2.405,
Josquin des Prez,Jos2829-Qui_belles_amours.krn,3,Chanson,102.592,0,0.760865894,5.74813,0.107638889,19.31,52.28,Jos2829,2.935,5.284,2.348,1.174,1.761,0.391,6.262,6.849,0.196,4.697,0.196,0,0,1.566,1.566,7.241,5.871,2.153,0,0.783,0.391,0,0,5.088,0.391,3.327,0,0.196,1.761,0,1.174,5.479,1.761,1.761,3.914,0,0,0,0,6.654,0,2.348,4.501,0,1.174,0,1.174,6.067,1.566,
Josquin des Prez,Jos2830-Scaramella.krn,1,Chanson,118.608,0,0.848139175,5.73885,0.172131148,18.93,45.04,Jos2830,2.508,5.643,0.627,1.254,1.254,1.254,4.702,5.016,3.448,5.016,0.627,1.254,0,1.881,1.254,5.329,0.94,3.762,0.627,0,0.313,0,2.194,3.448,1.881,4.389,0,1.881,0.94,0.627,0.627,5.016,5.643,3.448,0.94,0.94,0,0,0.313,4.389,0.627,2.508,6.27,0.313,0,0.313,1.254,3.448,1.881,
Josquin des Prez,Jos2831-Se_congie_prens__Recordans_de_my_segnora.krn,3,Chanson,96.6556,0,0.856126125,5.33036,0.235294118,15.24,47.97,Jos2831,3.217,4.29,0.536,3.217,0,0,7.775,7.775,2.413,1.877,0,0.536,0,1.34,1.34,5.094,0.804,0.804,1.072,0,0,0,0,3.485,3.753,4.29,0.268,2.949,2.949,0,0.536,5.63,4.021,3.485,0.268,0,0,0,0.804,6.702,0.268,1.877,4.29,1.072,1.877,0,1.34,4.826,3.217,
Josquin des Prez,Jos2832-Si_jay_perdu.krn,3,Chanson,90.0651,0,0.797918699,5.51816,0.1,16.29,43.29,Jos2832,6.882,4.086,0.43,0.43,2.581,0.215,6.882,5.591,1.935,4.301,0.86,0.43,0,0.215,1.29,5.591,4.731,3.011,0,0,0.86,0,0.86,3.226,3.011,4.301,0.215,0.43,2.151,0.86,0.86,4.086,5.591,3.011,0,0,0,0,0,2.796,0.645,2.151,5.376,0,1.935,0.645,1.075,1.505,4.946,
Josquin des Prez,Jos2833-Tant_vous_aimme.krn,3,Chanson,123.323,0,0.637108204,5.68581,0.032894737,8.37,64.65,Jos2833,7.143,4.135,1.128,1.504,0,1.504,2.256,6.391,4.511,3.383,1.128,4.135,0,2.256,1.88,6.015,4.511,1.88,0,0,0,0,1.88,3.383,2.632,3.008,0,0.752,1.88,1.128,2.632,3.383,4.511,1.88,0,0,1.504,0,2.256,2.632,2.256,2.632,2.256,0,0,0,1.128,3.759,0.752,
Josquin des Prez,Jos2834-Tous_les_regretz.krn,6,Chanson,136.108,5,0.848503808,6.26601,0.082304527,12.23,63.7,Jos2834,1.587,2.268,1.361,0.227,1.587,0.68,5.442,4.989,1.814,3.855,0.454,0.68,0,1.134,0.454,8.163,1.587,3.175,0.907,0.227,1.134,0.227,0.227,5.896,0.454,3.628,0,0.454,1.361,0.68,1.361,7.029,7.029,2.268,1.361,0.227,0,0,0.227,6.576,0.454,1.587,4.082,0.227,1.134,0,0.68,5.896,5.215,
Josquin des Prez,Jos2835-Une_musque_de_Buscaya.krn,1,Chanson,128.425,4,0.840904022,5.60269,0.091463415,11.79,70.36,Jos2835,1.923,3.846,0,0,0.641,0.321,5.128,3.205,4.808,5.128,0,1.923,0,1.282,1.603,4.808,2.885,3.205,0,0.962,0,0,0.962,4.167,1.282,3.846,0,0.962,2.244,0,0.641,5.449,4.487,5.769,0,0,0.962,0,0.962,5.769,2.885,4.808,3.526,0,1.603,0,1.282,5.128,1.603,
Josquin des Prez,Jos2836-Vive_le_roy.krn,2,Chanson,129.209,0,0.760004358,5.5655,0.023255814,3.47,37.19,Jos2836,16.814,0.59,0.59,0,0,3.54,0.295,0,10.619,0,0,2.36,0,5.015,4.425,0.59,3.835,0,0,1.18,0,0,2.95,0.59,0.59,0,0,0,1.18,0,5.31,0,19.764,0.295,0.295,0,3.54,0,3.245,0,8.26,0,0,0,0,0,2.95,0.295,0.885,
Josquin des Prez,Jos2837-Vivrai_je_tousjours.krn,4,Chanson,124.667,1,0.944031933,6.38295,0.203389831,16.61,57.95,Jos2837,1.884,3.925,1.884,0.942,1.57,0.942,4.396,6.279,3.611,3.768,1.099,0.785,0.157,1.727,0.785,6.122,0.471,3.454,0.628,0,0,0.785,2.983,3.768,3.14,4.396,0.314,0.471,1.099,0.628,1.256,5.338,3.297,4.396,0.471,0,0,0,0.942,3.925,0.628,4.553,5.181,0.314,0.314,0.942,1.727,3.611,1.099,
Josquin des Prez,Jos2838-Textless_piece_3.krn,3,Chanson,100.005,0,0.792690577,5.81458,0.152,18.98,52.43,Jos2838,9.307,4.015,2.92,0.912,0.547,0.365,4.927,6.204,0.365,2.737,0,0.182,0,0.365,0.73,5.474,2.92,7.117,0,0,0,1.095,0.365,5.109,2.19,6.752,1.46,0,0.73,0,1.825,6.569,4.015,3.65,0,0,0,0,0.73,5.839,1.277,1.825,5.109,0,0,0.182,0.182,1.642,0.365,
Josquin des Prez,Jos2839-Textless_piece_4.krn,4,Chanson,97.7058,1,0.83556325,6.02334,0.239130435,23.33,44.5,Jos2839,2.147,5.215,1.84,0.92,0.613,0.92,6.748,7.362,1.227,3.681,0.307,0.92,0,1.534,1.227,5.215,1.534,2.761,1.227,2.147,0,0.92,0.92,4.908,0.307,2.761,0,0,2.147,0,2.147,4.908,3.988,3.374,0.307,1.84,0.92,0.307,0.613,7.055,0.92,2.147,3.374,0.613,0,0,0,6.748,1.227,
Josquin des Prez,Jos2840-Fors_seulement_III.krn,3,Chanson,110.235,1,0.735581712,6.6885,0.04491018,10.37,66.07,Jos2840,5.305,3.537,3.537,0.482,2.251,0.322,5.145,5.145,0.804,4.662,0.482,0.965,0,0.643,1.929,7.395,3.376,3.055,0.482,0.161,0.643,0.643,0.482,3.537,0.965,3.537,0,0.161,1.929,0.482,1.286,3.537,7.235,3.055,1.608,0.643,0,0,0,4.019,0.161,2.572,4.662,0.322,0.804,0.161,1.286,3.698,2.894,
Josquin des Prez,Jos2901-Cent_mille_regretz.krn,4,Song,123.148,5,0.875112229,4.9869,0.149681529,12.8,57.84,Jos2901,5.856,3.303,1.051,1.502,0.601,0.901,4.955,5.105,3.453,2.553,0.3,1.051,0,0.751,1.652,3.604,1.502,3.003,0.3,0,0,0.601,1.952,4.054,6.607,3.453,0.3,1.952,1.351,0.15,0.15,5.706,3.754,3.453,0.601,0.45,0.45,0,0.751,4.505,0.3,2.703,3.453,0.3,0.751,0.3,2.252,4.354,3.904,
Josquin des Prez,Jos2902-Cueur_langoreulx.krn,2,Chanson,138.081,1,0.919678828,6.13175,0.077192982,10.75,60.75,Jos2902,6.305,4.378,1.926,1.576,1.926,1.051,4.028,3.327,2.102,3.327,0.175,1.226,0.175,1.576,1.751,4.553,2.102,2.802,0.35,0,0.35,2.627,0.175,2.977,2.802,3.853,0.701,1.576,2.627,0.35,0.876,4.553,5.779,1.751,1.751,0.35,0.175,0,1.401,3.327,0.701,2.102,4.729,0.175,0.35,0.876,0.525,4.378,3.503,
Josquin des Prez,Jos2903-Cueurs_desolez__Plorans_ploravit.krn,4,Chanson,118.015,1,0.825669562,5.91419,0.176724138,12.22,61.68,Jos2903,4.896,4.143,0,0.377,1.695,0.377,7.345,5.085,2.26,4.896,0.565,0.377,0.753,0,1.507,5.838,6.403,3.013,0.753,1.13,0.188,0.377,0.188,6.403,0.942,2.26,0.188,0,2.637,0.565,0.377,4.896,2.825,2.825,0,1.695,0.565,0.753,0.565,5.461,3.578,2.072,2.825,0.188,0.565,0,0.942,4.331,0.377,
Josquin des Prez,Jos2904-Douleur_me_bat.krn,3,Chanson,131.595,5,0.8648842,5.9662,0.061068702,9.83,50.15,Jos2904,5.313,3.036,0.759,1.139,0.38,1.139,3.605,3.795,3.036,1.898,0.38,0,0.38,0.949,0.949,2.087,5.693,3.605,0.38,0.569,1.328,2.467,1.518,4.554,7.021,1.708,0.949,0.759,0,0,0.759,3.416,0.949,2.087,0,0,0,0.759,0.949,4.554,4.934,2.657,3.605,1.139,0.38,2.277,0.38,3.226,8.539,
Josquin des Prez,Jos2905-Du_mien_amant.krn,3,Chanson,106.203,0,0.880241057,5.9458,0.08974359,12.32,47.94,Jos2905,6.782,3.175,0.144,1.732,2.597,1.443,3.319,3.463,5.339,3.319,0.577,1.732,0.144,1.01,0.289,4.762,2.453,2.886,0,0.144,0.433,0.722,1.154,4.185,5.051,3.463,0.289,0.433,2.742,2.309,0.722,3.896,5.916,1.01,1.587,0.144,0.289,0.144,0.722,3.03,1.01,2.597,3.608,0.144,0.144,0.433,1.299,4.04,3.175,
Josquin des Prez,Jos2906-En_non_saichant.krn,3,Chanson,136.758,0,0.813890351,6.15364,0.214574899,17.73,53.89,Jos2906,5.892,2.946,1.8,1.964,1.637,0.655,6.547,6.219,0.491,2.291,0,0.655,0,1.146,1.309,6.056,2.619,3.601,0,0.491,0.164,0.655,0.982,4.092,1.146,3.928,0.327,0.655,2.946,0.164,2.128,4.092,4.255,3.11,1.473,0,0,0.327,0.491,5.074,1.964,2.455,5.401,0,1.146,0,2.782,2.946,0.982,
Josquin des Prez,Jos2907-Faulte_dargent.krn,1,Chanson,122.2,1,0.860828022,5.91908,0.126027397,13.1,62.02,Jos2907,4.832,4.966,0.805,0.537,0.671,0.671,4.161,6.04,1.477,4.564,0.403,0.268,0,0.134,0.94,3.758,1.477,6.174,0.268,0.403,0.94,0.268,1.745,5.503,6.174,4.564,2.013,1.074,1.074,0.403,0.671,6.577,2.416,3.893,0.268,0.403,0.134,0,2.148,5.772,1.074,1.745,5.235,0,0.134,0.537,0.268,2.282,0.134,
Josquin des Prez,Jos2908-Incessament_livre.krn,3,Chanson,112.838,0,0.77792915,6.1224,0.108695652,11.33,55.98,Jos2908,6.579,3.509,0.439,1.754,0.439,1.096,2.632,2.851,5.263,2.412,0.219,1.535,0,2.851,3.289,3.289,1.535,3.289,0,0.219,0.439,0.877,0.877,3.947,2.193,3.947,0,0.877,1.316,2.632,2.193,3.947,9.43,1.754,1.535,0,0,0,0.877,3.728,0.877,2.193,2.851,0,1.096,0.219,2.412,4.605,1.974,
Josquin des Prez,Jos2909-Incessament_mon_povre.krn,5,Song,128.507,2,0.955441441,5.78632,0.105633803,11.01,61.57,Jos2909,5.415,4.738,0.508,1.523,0.338,1.692,5.245,5.245,4.399,3.723,0.169,0.846,0.169,1.692,0.508,4.23,1.015,4.907,0,0,0,0.508,1.015,4.907,2.369,3.384,0.508,0.338,2.2,0.508,0.846,4.569,4.738,2.707,0.169,0,0.169,0,0.846,4.907,2.03,3.553,4.738,0.338,0,0,1.692,3.892,2.707,
Josquin des Prez,Jos2910-Je_me_complains.krn,3,Chanson,122.315,1,0.847666507,6.09713,0.123333333,12.7,57.37,Jos2910,2.707,5.096,0.159,1.274,1.752,0.478,3.662,3.344,0.796,3.822,1.274,1.592,0,1.115,0.955,3.981,3.662,3.503,0.318,0,0,0.796,1.752,3.503,0.796,5.255,0.159,0.637,1.752,0.159,1.274,4.936,5.573,4.618,2.866,0.637,0,0,0.478,5.255,1.115,4.14,5.414,0,0.159,0,1.911,5.096,2.229,
Josquin des Prez,Jos2911-Je_ne_me_puis_tenir_daimer.krn,3,Chanson,109.01,0,0.826026618,6.07311,0.191919192,18.23,43.23,Jos2911,8.289,3.421,1.579,1.711,1.447,1.184,5.526,5,0.789,2.237,0.132,0.526,0,1.447,1.579,5,2.895,4.079,0.395,0.263,0.263,1.579,0.789,4.605,2.368,3.421,0.658,0.526,2.237,0,2.632,5,3.684,2.895,0.658,0.132,0,0.132,0.395,5.921,1.711,1.579,4.737,0.263,0.263,0.132,1.579,3.158,1.184,
Josquin des Prez,Jos2912-La_Spagna.krn,4,Chanson,116.624,2,0.698345162,6.07917,0.157821229,13.79,63.45,Jos2912,2.813,5.199,0.612,2.446,1.407,0.734,5.505,4.648,0.795,4.281,0.183,1.651,0,0.917,2.202,4.159,1.529,5.015,0.428,0.306,0.489,1.896,0.734,5.321,1.835,4.587,0.183,0.612,1.651,0.856,1.59,4.893,2.813,3.119,0.673,0.183,0.061,0.061,0.612,4.159,0.245,3.792,5.199,0.306,0.734,0.306,1.468,4.526,2.263,
Josquin des Prez,Jos2913-Lamye_a_tous.krn,4,Chanson,127.122,0,0.818170399,6.42812,0.097142857,12.03,52.86,Jos2913,5.78,3.091,1.613,1.344,0.806,0.806,4.435,3.629,2.419,2.823,0.806,1.478,0,0.538,1.478,5.108,2.554,3.091,0.269,0,0,0.403,0.941,2.957,3.226,4.57,0.134,0.403,2.554,0.806,1.478,4.032,8.602,2.419,2.016,0.538,0,0,0.269,4.704,0.538,2.151,3.495,0.269,0.806,0.269,1.344,3.898,5.108,
Josquin des Prez,Jos2914.1-Ma_bouche_rit--a_5.krn,4,Chanson,125.927,1,0.676837329,6.16816,0.086842105,11.18,56.73,Jos2914.1,10.957,2.645,3.778,0.126,2.267,0.378,4.282,4.66,1.134,3.652,0.126,0.882,0,1.134,1.637,6.675,1.763,2.897,0.378,0,0.252,0.252,0.504,3.401,0.252,3.526,0.378,0.504,2.393,0.126,1.008,4.66,10.076,2.897,2.771,0.126,0,0.126,0.252,5.416,0.378,1.008,3.401,0.126,0.378,0,1.259,3.023,2.141,
Josquin des Prez,Jos2914.2-Ma_bouche_rit--a_6.krn,4,Chanson,130.087,2,0.621990512,6.06615,0.1,11.38,54.4,Jos2914.2,13.399,2.288,3.486,0.218,4.031,0.436,3.813,4.031,0.98,3.159,0.109,0.763,0,0.98,2.179,5.773,1.634,2.723,0.327,0,0.218,0.654,0.436,3.268,0.327,3.159,0.327,0.436,3.486,0.109,1.416,4.139,10.022,2.505,2.614,0.109,0,0.109,0.218,4.793,0.327,0.98,3.268,0.109,0.327,0,1.198,2.723,2.397,
Josquin des Prez,Jos2915-Mala_se_nea.krn,5,Chanson,109.791,4,0.626585639,5.70632,0.149501661,12.15,52.72,Jos2915,9.644,3.858,0.593,0.445,2.077,1.039,5.045,5.045,3.858,2.374,0.593,0.593,0.89,0.742,0.445,4.154,2.671,5.341,0,0.297,0,0.742,1.335,2.967,2.522,3.858,0.148,0,2.226,0.742,1.632,3.561,6.38,2.077,0,0.742,0,0,0,3.412,3.858,3.858,5.786,0,0,0,1.187,2.671,0.593,
Josquin des Prez,Jos2916-Mi_lares_vous_tousjours_languir.krn,3,Chanson,117.076,2,0.890749529,6.04123,0.111111111,15.83,58.71,Jos2916,2.32,4.64,0.232,1.856,0.696,0,5.8,6.497,4.408,4.408,0.232,1.624,0.464,0.928,0.696,6.961,1.16,2.552,0.232,0.232,0,0.464,0.696,3.712,0.464,5.104,0.232,0.232,2.32,0.696,1.392,4.408,5.568,4.64,0,0,0,0,0.928,5.336,1.16,3.944,4.176,0,1.624,0,1.856,4.408,0.696,
Josquin des Prez,Jos2917-Nesse_pas_ung_grant_deplaisir.krn,3,Chanson,120.254,5,0.857559207,5.54722,0.126696833,15.81,54.78,Jos2917,10.626,3.416,1.898,1.328,0.759,0.949,5.313,3.985,0.759,3.605,0,0,0,0,1.518,3.605,2.657,5.123,0,0.38,0.569,2.467,0.19,3.226,3.036,3.795,2.657,0.19,0.949,0.38,1.139,2.657,3.036,4.934,0,0.19,0,1.139,3.036,5.503,3.605,2.277,3.605,0,0.38,0.38,0.19,3.795,0.759,
Josquin des Prez,Jos2918-Nymphes_des_bois__Requiem.krn,1,Chanson,107.65,1,0.87205418,7.01372,0.139393939,12.61,44.09,Jos2918,9.753,2.691,0.561,0.897,0,2.13,2.354,2.915,2.466,2.13,0,0.336,0.112,0.785,1.57,2.466,5.83,2.691,0.561,0.673,1.57,1.009,0.673,3.251,6.278,3.363,1.457,0.448,0.224,0,1.682,3.251,2.691,2.803,0.336,0.561,0.224,0.785,1.682,3.363,6.39,3.027,3.139,0.336,0.224,1.457,0.897,2.242,5.717,
Josquin des Prez,Jos2919-Parfons_regretz.krn,3,Chanson,125.042,0,0.727415676,4.39979,0.097457627,17.01,45.15,Jos2919,5.411,4.409,2.204,1.002,2.405,0.601,5.01,2.806,0.802,5.21,1.403,0.601,0,0.2,4.81,5.411,3.407,4.81,0.601,0,0,0.601,1.002,6.413,5.21,3.006,0.802,0,1.804,0.2,0.802,4.208,3.006,3.006,1.002,0,0,0,0.401,6.212,2.204,0.802,4.409,0,0,0,0,3.006,0.802,
Josquin des Prez,Jos2920-Pleine_de_dueil.krn,3,Chanson,97.7824,0,0.890325859,5.85333,0.048648649,12.17,45.75,Jos2920,4.623,0.73,2.92,0.487,2.676,0.973,1.946,2.676,2.92,0.973,0.973,0,0,0.487,2.19,1.703,6.569,1.217,0,0,2.676,4.136,0.243,2.92,9.246,1.46,1.703,2.433,0.487,0.487,0.243,1.703,3.65,0.973,2.19,0.243,0,0,1.946,3.406,2.676,1.703,1.217,1.217,0.973,5.353,0.243,2.676,9.732,
